gene_id,gene_name,genome
ENSG00000002016,RAD52,hg38
ENSG00000005302,MSL3,hg38
ENSG00000007168,PAFAH1B1,hg38
ENSG00000011009,LYPLA2,hg38
ENSG00000015133,CCDC88C,hg38
ENSG00000033050,ABCF2,hg38
ENSG00000047621,C12orf4,hg38
ENSG00000058866,DGKG,hg38
ENSG00000067369,TP53BP1,hg38
ENSG00000068724,TTC7A,hg38
ENSG00000069011,PITX1,hg38
ENSG00000070915,SLC12A3,hg38
ENSG00000073670,ADAM11,hg38
ENSG00000074966,TXK,hg38
ENSG00000076685,NT5C2,hg38
ENSG00000077009,NMRK2,hg38
ENSG00000079332,SAR1A,hg38
ENSG00000079432,CIC,hg38
ENSG00000082898,XPO1,hg38
ENSG00000084733,RAB10,hg38
ENSG00000085832,EPS15,hg38
ENSG00000089050,RBBP9,hg38
ENSG00000095139,ARCN1,hg38
ENSG00000100031,GGT1,hg38
ENSG00000100271,TTLL1,hg38
ENSG00000100344,PNPLA3,hg38
ENSG00000100399,CHADL,hg38
ENSG00000100890,KIAA0391,hg38
ENSG00000100934,SEC23A,hg38
ENSG00000101782,RIOK3,hg38
ENSG00000101811,CSTF2,hg38
ENSG00000103740,ACSBG1,hg38
ENSG00000104081,BMF,hg38
ENSG00000104763,ASAH1,hg38
ENSG00000105672,ETV2,hg38
ENSG00000106554,CHCHD3,hg38
ENSG00000107130,NCS1,hg38
ENSG00000107672,NSMCE4A,hg38
ENSG00000107949,BCCIP,hg38
ENSG00000108091,CCDC6,hg38
ENSG00000108100,CCNY,hg38
ENSG00000108669,CYTH1,hg38
ENSG00000109180,OCIAD1,hg38
ENSG00000109929,SC5D,hg38
ENSG00000111203,ITFG2,hg38
ENSG00000111276,CDKN1B,hg38
ENSG00000111737,RAB35,hg38
ENSG00000114023,FAM162A,hg38
ENSG00000114423,CBLB,hg38
ENSG00000115414,FN1,hg38
ENSG00000115419,GLS,hg38
ENSG00000116786,PLEKHM2,hg38
ENSG00000117155,SSX2IP,hg38
ENSG00000117318,ID3,hg38
ENSG00000120217,CD274,hg38
ENSG00000121905,HPCA,hg38
ENSG00000122550,KLHL7,hg38
ENSG00000122862,SRGN,hg38
ENSG00000124523,SIRT5,hg38
ENSG00000125375,ATP5S,hg38
ENSG00000126062,TMEM115,hg38
ENSG00000128815,WDFY4,hg38
ENSG00000128928,IVD,hg38
ENSG00000130312,MRPL34,hg38
ENSG00000131080,EDA2R,hg38
